1,0.4,0.26,0.15,0.19,0.3,0.14,0.11,0.07,0.1,0.06,0.1,0.06,0.21,0.11,0.44,0.21,0.09,0.04,0.1,0.06,0.14,0.04,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.4,1,0.13,0.3,0.39,0.14,0.28,0.06,0.12,0.05,0.11,0.05,0.11,0.11,0.22,0.19,0.42,0.15,0.07,0.19,0.12,0.25,0.07,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.26,0.13,1,0.38,0.07,0.1,0.05,0.43,0.19,0.18,0.09,0.18,0.09,0.1,0.06,0.14,0.08,0.04,0.04,0.07,0.03,0.09,0.04,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.15,0.3,0.38,1,0.15,0.06,0.11,0.19,0.39,0.1,0.19,0.1,0.19,0.06,0.11,0.08,0.16,0.09,0.08,0.14,0.06,0.19,0.09,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.19,0.39,0.07,0.15,1,0.06,0.11,0.03,0.06,0.03,0.06,0.03,0.06,0.06,0.11,0.08,0.15,0.37,0.17,0.44,0.26,0.44,0.13,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0.14,0.1,0.06,0.06,1,0.39,0.2,0.12,0.3,0.17,0.18,0.11,0.44,0.22,0.35,0.17,0.07,0.11,0.09,0.19,0.03,0.07,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.14,0.28,0.05,0.11,0.11,0.39,1,0.11,0.23,0.15,0.33,0.1,0.2,0.22,0.47,0.16,0.33,0.13,0.19,0.16,0.38,0.06,0.13,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.11,0.06,0.43,0.19,0.03,0.2,0.11,1,0.38,0.4,0.19,0.4,0.19,0.21,0.11,0.13,0.07,0.04,0.08,0.06,0.06,0.04,0.08,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.07,0.12,0.19,0.39,0.06,0.12,0.23,0.38,1,0.2,0.44,0.2,0.44,0.13,0.24,0.08,0.15,0.08,0.17,0.13,0.13,0.08,0.17,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.1,0.05,0.18,0.1,0.03,0.3,0.15,0.4,0.2,1,0.37,0.58,0.24,0.27,0.13,0.11,0.06,0.04,0.11,0.09,0.09,0.04,0.07,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06,0.11,0.09,0.19,0.06,0.17,0.33,0.19,0.44,0.37,1,0.24,0.57,0.14,0.28,0.06,0.13,0.07,0.22,0.18,0.18,0.07,0.14,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.1,0.05,0.18,0.1,0.03,0.18,0.1,0.4,0.2,0.58,0.24,1,0.37,0.41,0.19,0.11,0.06,0.04,0.07,0.06,0.06,0.04,0.12,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06,0.11,0.09,0.19,0.06,0.11,0.2,0.19,0.44,0.24,0.57,0.37,1,0.21,0.44,0.06,0.13,0.07,0.14,0.11,0.11,0.07,0.23,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.21,0.11,0.1,0.06,0.06,0.44,0.22,0.21,0.13,0.27,0.14,0.41,0.21,1,0.39,0.25,0.14,0.07,0.07,0.06,0.12,0.04,0.12,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.11,0.22,0.06,0.11,0.11,0.22,0.47,0.11,0.24,0.13,0.28,0.19,0.44,0.39,1,0.13,0.27,0.13,0.13,0.11,0.24,0.06,0.21,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.44,0.19,0.14,0.08,0.08,0.35,0.16,0.13,0.08,0.11,0.06,0.11,0.06,0.25,0.13,1,0.39,0.17,0.05,0.04,0.07,0.05,0.05,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.21,0.42,0.08,0.16,0.15,0.17,0.33,0.07,0.15,0.06,0.13,0.06,0.13,0.14,0.27,0.39,1,0.33,0.09,0.07,0.14,0.09,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.09,0.15,0.04,0.09,0.37,0.07,0.13,0.04,0.08,0.04,0.07,0.04,0.07,0.07,0.13,0.17,0.33,1,0.24,0.17,0.33,0.18,0.18,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.04,0.07,0.04,0.08,0.17,0.11,0.19,0.08,0.17,0.11,0.22,0.07,0.14,0.07,0.13,0.05,0.09,0.24,1,0.56,0.53,0.17,0.4,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.1,0.19,0.07,0.14,0.44,0.09,0.16,0.06,0.13,0.09,0.18,0.06,0.11,0.06,0.11,0.04,0.07,0.17,0.56,1,0.4,0.42,0.29,0.04,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,
0.06,0.12,0.03,0.06,0.26,0.19,0.38,0.06,0.13,0.09,0.18,0.06,0.11,0.12,0.24,0.07,0.14,0.33,0.53,0.4,1,0.12,0.27,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.14,0.25,0.09,0.19,0.44,0.03,0.06,0.04,0.08,0.04,0.07,0.04,0.07,0.04,0.06,0.05,0.09,0.18,0.17,0.42,0.12,1,0.25,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.04,0.07,0.04,0.09,0.13,0.07,0.13,0.08,0.17,0.07,0.14,0.12,0.23,0.12,0.21,0.05,0.09,0.18,0.4,0.29,0.27,0.25,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,
0.15,0.08,0.47,0.21,0.04,0.12,0.06,0.41,0.19,0.23,0.11,0.23,0.11,0.13,0.07,0.19,0.1,0.06,0.06,0.04,0.04,0.06,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0.6,0.5,0.45,0.3,0.5,0.3,0.5,0.4,0.3,0.2,0.15,0.5,0.3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,0.5,0.3,0.4,0.5,0.5,0.4,0.3,0.6,0.4,0.2,0.1,0.3,0.2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,1,0.5,0.8,0.6,0.4,0.55,0.3,0.4,0.2,0.4,0.15,0.4,0.5,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.5,1,0.35,0.2,0.2,0.3,0.2,0.3,0.25,0.9,0.7,0.45,0.6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.4,0.8,0.35,1,0.4,0.4,0.45,0.3,0.4,0.5,0.7,0.45,0.6,0.5,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.6,0.2,0.4,1,0.55,0.4,0.7,0.5,0.4,0.2,0.1,0.2,0.1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.2,0.4,0.55,1,0.8,0.7,0.5,0.7,0.4,0.15,0.3,0.25,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.3,0.4,0.55,0.3,0.45,0.4,0.8,1,0.4,0.5,0.4,0.3,0.05,0.3,0.2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.3,0.2,0.3,0.7,0.7,0.4,1,0.9,0.7,0.4,0.2,0.4,0.3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0.4,0.3,0.4,0.5,0.5,0.5,0.9,1,0.5,0.3,0.15,0.5,0.3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0.2,0.25,0.5,0.4,0.7,0.4,0.7,0.5,1,0.3,0.2,0.4,0.35,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.9,0.7,0.2,0.4,0.3,0.4,0.3,0.3,1,0.7,0.5,0.4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.15,0.1,0.15,0.7,0.45,0.1,0.15,0.05,0.2,0.15,0.2,0.7,1,0.3,0.3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.4,0.45,0.6,0.2,0.3,0.3,0.4,0.5,0.4,0.5,0.3,1,0.85,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.5,0.6,0.5,0.1,0.25,0.2,0.3,0.3,0.35,0.4,0.3,0.85,1